Task,Subtask,Host,Function,Input Tokens,Output Tokens
Represent,inorganic descriptors,cheml,ElementalPropertyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,GCLPAttributeGenerator,"entries, energies, phases, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,IonicCompoundProximityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,IonicityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,LatticeSimilarityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,LocalPropertyDifferenceAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,LocalPropertyVarianceAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,MeredigAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,PRDFAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,PackingEfficiencyAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,StoichiometricAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,StructuralHeterogeneityAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,ValenceShellAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic descriptors,cheml,YangOmegaAttributeGenerator,"entries, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,inorganic input,cheml,CompositionEntry,"__dict__, __weakref__","entries, __dict__, __weakref__"
Represent,inorganic input,cheml,CrystalStructureEntry,"__dict__, __weakref__","entries, __dict__, __weakref__"
Represent,molecular descriptors,cheml,BagofBonds,"molecules, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,cheml,CoulombMatrix,"molecules, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,cheml,Dragon,"molfile, __dict__, __weakref__","df, __dict__, __weakref__"
Represent,molecular descriptors,cheml,RDKitFingerprint,"molfile, __dict__, __weakref__","df, removed_rows, __dict__, __weakref__"
Prepare,data cleaning,cheml,ConstantColumns,"df, api, __dict__, __weakref__","df, removed_columns_, api, __dict__, __weakref__"
Prepare,data cleaning,cheml,MissingValues,"api, df, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,data cleaning,cheml,Outliers,"df, api, __dict__, __weakref__","df, removed_columns_, api, __dict__, __weakref__"
Prepare,data manipulation,cheml,Split,"df, __dict__, __weakref__","df1, df2, __dict__, __weakref__"
Prepare,data manipulation,pandas,concat,"df1, df2, df3, __dict__, __weakref__","df, __dict__, __weakref__"
Prepare,data cleaning,sklearn,Imputer,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,feature representation,sklearn,Binarizer,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,feature representation,sklearn,OneHotEncoder,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,feature representation,sklearn,PolynomialFeatures,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,feature transformation,sklearn,KernelPCA,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,feature transformation,sklearn,PCA,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,scaling,sklearn,MaxAbsScaler,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,scaling,sklearn,MinMaxScaler,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,scaling,sklearn,Normalizer,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,scaling,sklearn,RobustScaler,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,scaling,sklearn,StandardScaler,"df, api, __dict__, __weakref__","df, api, __dict__, __weakref__"
Prepare,split,sklearn,KFold,"dfx, __dict__, __weakref__","api, fold_gen, __dict__, __weakref__"
Prepare,split,sklearn,LeaveOneOut,"dfx, __dict__, __weakref__","api, fold_gen, __dict__, __weakref__"
Prepare,split,sklearn,ShuffleSplit,"dfx, __dict__, __weakref__","fold_gen, api, __dict__, __weakref__"
Prepare,split,sklearn,StratifiedShuffleSplit,"dfx, __dict__, __weakref__","fold_gen, api, __dict__, __weakref__"
Prepare,split,sklearn,train_test_split,"dfy, dfx, __dict__, __weakref__","dfx_test, dfy_train, dfy_test, dfx_train, __dict__, __weakref__"
Model,regression,cheml,MLP,"dfx, dfy, api, __dict__, __weakref__","dfy_predict, api, __dict__, __weakref__"
Model,regression,cheml,MLP_sklearn,"dfx, dfy, api, __dict__, __weakref__","dfy_predict, api, __dict__, __weakref__"
Model,regression,sklearn,ARDRegression,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,BayesianRidge,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,ElasticNet,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,KernelRidge,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,Lars,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,Lasso,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,LassoLars,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,LinearRegression,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,LinearSVR,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,LogisticRegression,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,MLPRegressor,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,MultiTaskElasticNet,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,MultiTaskLasso,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,NuSVR,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,Ridge,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,SGDRegressor,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Model,regression,sklearn,SVR,"api, dfy, dfx, __dict__, __weakref__","api, dfy_predict, __dict__, __weakref__"
Search,genetic algorithm,cheml,GA_DEAP,"evaluate, __dict__, __weakref__","best_ind_df, best_individual, __dict__, __weakref__"
Search,evaluate,pandas,corr,"df, __dict__, __weakref__","df, __dict__, __weakref__"
Search,evaluate,sklearn,evaluate_regression,"dfy, dfy_predict, __dict__, __weakref__","evaluation_results_, evaluator, __dict__, __weakref__"
Search,evaluate,sklearn,scorer_regression,"__dict__, __weakref__","scorer, __dict__, __weakref__"
Search,grid,sklearn,GridSearchCV,"dfy, dfx, estimator, scorer, cv, __dict__, __weakref__","cv_results_, api, best_estimator_, __dict__, __weakref__"
Search,grid,sklearn,learning_curve,"dfy, dfx, estimator, scorer, cv, __dict__, __weakref__","train_sizes_abs, extended_result_, test_scores, train_scores, __dict__, __weakref__"
Search,validate,sklearn,cross_val_predict,"dfy, dfx, estimator, scorer, cv, __dict__, __weakref__","dfy_predict, __dict__, __weakref__"
Search,validate,sklearn,cross_val_score,"dfy, dfx, estimator, scorer, cv, __dict__, __weakref__","scores, __dict__, __weakref__"
Visualize,artist,cheml,decorator,"fig, __dict__, __weakref__","fig, __dict__, __weakref__"
Visualize,plot,cheml,hist,"dfx, __dict__, __weakref__","fig, __dict__, __weakref__"
Visualize,plot,cheml,scatter2D,"dfx, dfy, __dict__, __weakref__","fig, __dict__, __weakref__"
Visualize,plot,pandas,plot,"df, __dict__, __weakref__","fig, __dict__, __weakref__"
Store,figure,cheml,SavePlot,"fig, __dict__, __weakref__","__dict__, __weakref__"
Store,file,cheml,SaveFile,"df, __dict__, __weakref__","filepath, __dict__, __weakref__"
