MW,AMW,Sv,Se,Sp,Si,Mv,Me,Mp,Mi,GD,nAT,nSK,nTA,nBT,nBO,nBM,SCBO,RBN,RBF,nAB,nH,nC,nN,nO,nS,nHM,nHet,H%,C%,N%,O%,nCsp3,nCsp2,nCIC,nCIR,TRS,Rperim,Rbrid,MCD,RFD,RCI,NRS,NNRS,nR05,nR06,nR10,nBnz,ARR,D/Dtr05,D/Dtr06,D/Dtr10,ZM1,ZM1V,ZM1Kup,ZM1Mad,ZM1Per,ZM1MulPer,ZM2,ZM2V,ZM2Kup,ZM2Mad,ZM2Per,ZM2MulPer,ON0,ON0V,ON1,ON1V,Qindex,BBI,DBI,SNar,HNar,GNar,Xt,Dz,Ram,BLI,Pol,LPRS,MSD,SPI,PJI2,ECC,AECC,DECC,MDDD,UNIP,CENT,VAR,ICR,SMTI,SMTIV,GMTI,GMTIV,Xu,CSI,Wap,S1K,S2K,S3K,PHI,PW2,PW3,PW4,PW5,MAXDN,MAXDP,DELS,TIE,Psi_i_s,Psi_i_A,Psi_i_0,Psi_i_1,Psi_i_t,Psi_i_0d,Psi_i_1d,Psi_e_A,Psi_e_0,Psi_e_1,Psi_e_0d,BAC,LOC,MWC01,MWC02,MWC03,MWC04,MWC05,MWC06,MWC07,MWC08,MWC09,MWC10,SRW02,SRW04,SRW05,SRW06,SRW07,SRW08,SRW09,SRW10,MPC01,MPC02,MPC03,MPC04,MPC05,MPC06,MPC07,MPC08,MPC09,MPC10,piPC01,piPC02,piPC03,piPC04,piPC05,piPC06,piPC07,piPC08,piPC09,piPC10,TWC,TPC,piID,PCR,PCD,CID,BID,X0,X1,X2,X3,X4,X5,X0A,X1A,X2A,X3A,X4A,X5A,X0v,X1v,X2v,X3v,X4v,X5v,X0Av,X1Av,X2Av,X3Av,X4Av,X5Av,X0sol,X1sol,X2sol,X3sol,X4sol,X5sol,XMOD,RDCHI,smiles,density_Kg/m3
305.52,8.986,23.27,33.516,26.279,37.165,0.684,0.986,0.773,1.093,0.123,34,19,1,36,21,12,27.0,2,0.056,12,15,15,1,0,3,3,4,44.1,44.1,2.9,0.0,4,11,3,3,18,18,0,0.947,0.0,1.0,3,1.0,0,3,0,1,0.571,0.0,164.586,0.0,98,270,227.463,154.313,386.6,285.52,114,259,241.027,163.002,403.65,274.806,9.167,5.9,4.25,1.958,14,28,1.581,14.504,2.073,2.145,0.263,38.5,5,1.276,28,80.551,4.397,5.125,0.8,134,7.053,0.909,11.274,48,432,47,2.189,2993,5034,3075,8447,18.604,289,4743,13.413,6.253,3.126,4.414,0.565,0.328,0.191,0.115,0.856,1.359,7.235,21.113,36.389,1.915,13.975,11.719,0.003,-0.0,-0.0,7.415,7.018,2.922,-0.0,2,0.447,3.091,4.595,5.434,6.297,7.16,8.034,8.906,9.785,10.661,11.541,3.761,5.043,0.0,6.547,0.0,8.146,0.0,9.796,3.091,3.367,3.638,3.912,4.174,4.127,4.19,4.174,4.111,3.932,3.332,3.871,4.431,5.001,5.56,5.702,6.044,6.3,6.506,6.636,12.078,6.475,8.829,1.364,2.354,3.695,3.012,13.079,9.343,8.042,6.728,5.7,4.917,0.688,0.445,0.287,0.182,0.116,0.077,12.978,8.931,7.349,6.208,5.198,4.442,0.683,0.425,0.262,0.168,0.106,0.069,14.286,10.586,9.532,8.307,7.294,6.647,68.942,3.162,Sc1ncc(c(c1)C1CSCCS1)c1ccccc1,1241.59
263.36,8.495,20.116,31.447,21.176,35.282,0.649,1.014,0.683,1.138,0.131,31,18,1,33,20,11,25.5,2,0.061,11,13,11,5,1,1,1,7,41.9,35.5,16.1,3.2,3,8,3,3,17,17,0,0.944,0.0,1.0,3,1.0,1,2,0,0,0.55,40.531,103.607,0.0,94,278,284.611,124.4,403.13,296.811,111,278,283.098,138.628,433.07,298.072,8.667,5.217,4.028,1.607,14,27,1.581,13.811,2.077,2.154,0.269,39.5,5,0.98,26,74.298,4.138,4.789,1.0,115,6.389,0.944,9.877,43,362,38,2.135,2555,4566,2621,8059,17.603,249,4185,11.834,5.178,2.346,3.404,0.567,0.345,0.202,0.103,1.649,3.895,15.511,22.114,40.167,2.231,12.632,10.297,0.001,0.0,0.0,7.731,6.623,2.809,0.0,2,0.463,3.045,4.554,5.407,6.279,7.152,8.032,8.912,9.795,10.677,11.56,3.714,5.004,2.398,6.509,4.443,8.114,6.293,9.772,3.045,3.332,3.638,3.912,4.06,4.043,4.078,4.043,3.932,3.761,3.277,3.801,4.371,4.938,5.303,5.531,5.854,6.044,6.146,6.182,12.094,6.373,8.476,1.33,2.102,3.641,2.963,12.372,8.86,7.582,6.608,5.672,4.269,0.687,0.443,0.281,0.179,0.116,0.075,10.392,6.534,4.66,3.385,2.523,1.55,0.577,0.327,0.173,0.091,0.051,0.027,12.726,9.36,8.08,7.122,6.257,4.607,61.26,3.055,ON1CNCNC1c1ncccc1c1cscn1,1341.26
350.49,7.153,32.311,48.04,34.625,54.149,0.659,0.98,0.707,1.105,0.088,49,27,0,53,31,23,42.5,3,0.057,23,22,25,2,0,0,0,2,44.9,51.0,4.1,0.0,5,20,5,6,29,27,1,1.0,0.074,1.074,4,0.8,1,4,1,2,0.742,57.78,255.933,103.861,148,304,311.29,151.108,462.51,319.483,179,353,357.577,182.331,547.16,370.905,12.167,8.817,5.944,3.264,23,43,2.0,21.959,2.219,2.255,0.213,55.0,8,0.947,45,128.713,5.114,0.0,1.0,215,7.963,1.084,19.701,79,1105,88,2.406,7395,10662,8024,16303,24.934,482,24167,16.206,6.965,2.918,4.181,0.569,0.346,0.211,0.121,0.693,1.645,9.273,30.283,51.0,1.889,19.901,17.191,0.0,-0.0,-0.0,7.389,9.978,4.288,-0.0,0,0.0,3.466,5.004,5.883,6.781,7.686,8.598,9.514,10.433,11.354,12.277,4.143,5.46,2.398,6.999,4.443,8.644,6.293,10.35,3.466,3.784,4.143,4.5,4.796,4.934,5.142,5.283,5.384,5.384,3.773,4.401,5.086,5.778,6.447,6.837,7.385,7.866,8.309,8.612,12.784,7.795,11.935,1.531,4.14,4.06,3.342,18.054,13.416,11.591,10.416,9.402,7.947,0.669,0.433,0.27,0.168,0.106,0.066,15.306,9.791,7.372,5.764,4.529,3.041,0.567,0.316,0.171,0.093,0.051,0.025,18.054,13.416,11.591,10.416,9.402,7.947,81.449,3.811,c1ccc(nc1)c1cccc2c1c(c1cccnc1)c(cc2)C1CCCC1,1087.93
255.41,7.297,22.423,34.247,24.745,38.74,0.641,0.978,0.707,1.107,0.131,35,18,1,37,20,12,26.0,2,0.054,12,17,16,1,0,1,1,2,48.6,45.7,2.9,0.0,5,11,3,3,17,17,0,0.944,0.0,1.0,3,1.0,1,2,0,1,0.6,44.096,111.867,0.0,94,200,191.743,108.532,295.19,212.875,110,213,209.941,121.853,324.37,224.429,8.667,5.983,4.0,2.229,14,27,1.581,13.811,2.077,2.154,0.269,36.5,5,1.047,25,75.969,4.683,4.909,1.0,140,7.778,1.272,11.667,51,330,44,2.414,2808,4271,2909,6573,18.028,305,4482,11.797,5.154,2.469,3.378,0.571,0.338,0.186,0.095,0.718,1.492,7.11,20.86,34.389,1.91,13.297,11.367,0.004,0.0,0.0,7.41,6.657,2.799,0.0,2,0.463,3.045,4.554,5.398,6.26,7.12,7.989,8.856,9.729,10.599,11.473,3.714,5.004,2.398,6.5,4.595,8.082,6.605,9.707,3.045,3.332,3.611,3.85,3.989,3.989,4.078,4.078,4.078,4.025,3.296,3.829,4.35,4.828,5.265,5.151,5.404,5.625,5.906,6.193,12.014,6.417,8.548,1.332,2.131,3.641,2.961,12.372,8.843,7.657,6.614,5.521,4.14,0.687,0.442,0.284,0.184,0.12,0.078,11.184,6.979,5.502,4.323,3.326,2.103,0.621,0.349,0.204,0.12,0.072,0.04,12.872,9.132,8.028,6.972,5.842,4.359,56.401,3.138,Sc1ccccc1C1CCC(C1)c1ccccn1,1113.51
232.37,7.262,20.116,31.473,22.193,35.451,0.629,0.984,0.694,1.108,0.15,32,16,0,34,18,10,23.0,3,0.088,10,16,14,0,1,1,1,2,50.0,43.8,0.0,3.1,6,8,3,3,15,15,0,0.937,0.0,1.0,3,1.0,3,0,0,0,0.556,120.283,0.0,0.0,84,192,186.596,109.161,279.74,202.221,98,196,189.855,119.363,299.76,208.072,7.333,5.5,3.556,2.111,13,24,1.732,12.712,2.182,2.213,0.28,33.0,4,1.143,17,63.942,4.184,0.0,1.0,103,6.437,1.062,8.703,39,262,32,2.203,2044,3133,2133,4817,16.107,227,2903,10.428,4.642,2.211,3.026,0.565,0.333,0.192,0.075,0.546,1.653,4.999,16.573,29.333,1.833,12.063,10.501,0.01,0.0,0.0,7.333,5.94,2.51,0.0,0,0.0,2.944,4.443,5.283,6.142,6.999,7.864,8.726,9.595,10.459,11.329,3.611,4.89,3.434,6.337,5.587,7.868,7.486,9.452,2.944,3.219,3.497,3.761,3.664,3.784,3.829,3.761,3.664,3.434,3.178,3.676,4.171,4.66,4.477,4.755,4.991,5.13,5.305,5.34,11.873,6.08,7.595,1.249,1.515,3.528,2.854,10.795,7.933,6.786,5.834,5.039,2.864,0.675,0.441,0.283,0.182,0.12,0.075,10.08,6.857,5.628,4.65,3.826,2.153,0.63,0.381,0.234,0.145,0.091,0.057,11.148,8.387,7.369,6.5,5.72,3.236,53.137,3.006,o1ccc(c1)CC1CCCC1c1cccs1,1088.77
309.44,9.67,23.546,31.993,25.358,34.996,0.736,1.0,0.792,1.094,0.114,32,21,1,35,24,21,34.5,2,0.057,21,11,16,3,0,2,2,5,34.4,50.0,9.4,0.0,1,15,4,5,22,20,1,0.952,0.1,1.1,3,0.75,2,2,1,2,0.875,102.65,95.786,81.648,116,332,308.656,159.325,494.67,353.986,139,363,344.474,176.202,558.09,389.005,9.833,6.35,4.528,1.856,19,34,1.871,16.701,2.136,2.215,0.245,43.5,7,1.024,31,93.858,5.162,5.32,0.833,178,8.476,1.642,16.544,67,465,53,2.547,4323,7682,4668,14235,20.667,401,10229,12.875,5.175,2.328,3.173,0.583,0.35,0.196,0.094,0.719,1.376,9.689,19.802,42.333,2.016,14.995,12.533,0.001,-0.0,0.0,7.516,7.707,3.285,-0.0,2,0.418,3.219,4.762,5.631,6.518,7.402,8.293,9.182,10.075,10.967,11.862,3.892,5.22,3.045,6.742,5.13,8.358,6.986,10.028,3.219,3.555,3.871,4.159,4.331,4.477,4.615,4.771,4.89,4.828,3.57,4.248,4.924,5.581,6.094,6.583,7.091,7.607,8.083,8.325,12.388,7.097,10.783,1.519,3.687,3.803,3.104,14.234,10.31,9.295,8.233,7.096,5.187,0.678,0.43,0.273,0.175,0.113,0.069,12.91,8.193,6.171,4.613,3.474,2.144,0.615,0.341,0.181,0.098,0.055,0.029,14.941,11.31,10.291,9.262,8.278,5.864,73.266,3.433,Cc1cc2cc(ccc2cc1c1cnsn1)c1ncsc1,1321.4
300.47,8.346,24.303,35.549,26.841,39.371,0.675,0.987,0.746,1.094,0.121,36,20,0,39,23,15,30.5,3,0.077,15,16,17,0,1,2,2,3,44.4,47.2,0.0,2.8,5,12,4,4,20,20,0,1.0,0.0,1.0,4,1.0,4,0,0,0,0.652,201.0,0.0,0.0,110,276,253.456,154.103,406.91,291.195,132,291,274.912,170.398,452.98,310.066,9.0,6.417,4.361,2.368,18,32,1.732,16.296,2.222,2.259,0.248,41.0,6,1.163,25,87.758,4.948,0.0,1.0,159,7.95,1.26,13.8,59,460,50,2.484,3816,5956,4131,9618,19.774,359,8453,12.815,5.474,2.422,3.508,0.575,0.349,0.202,0.083,0.631,2.019,6.231,20.725,36.833,1.842,14.966,13.114,0.003,0.0,-0.0,7.342,7.418,3.198,0.0,0,0.0,3.178,4.71,5.58,6.463,7.348,8.237,9.127,10.019,10.911,11.805,3.85,5.165,3.714,6.65,5.9,8.221,7.847,9.844,3.178,3.497,3.829,4.127,4.127,4.317,4.407,4.489,4.5,4.454,3.45,4.039,4.669,5.28,5.478,5.985,6.358,6.723,7.014,7.175,12.331,6.9,9.635,1.396,2.735,3.756,3.059,13.364,9.916,8.681,7.816,6.872,4.221,0.668,0.431,0.271,0.174,0.113,0.069,12.805,8.914,7.125,5.866,4.766,2.573,0.64,0.388,0.223,0.13,0.078,0.042,14.071,10.87,9.73,9.035,8.28,5.235,70.036,3.4,C1CCC(C1)c1cocc1c1csc(c1)c1cscc1,1221.34
257.4,9.193,20.03,27.673,22.108,30.414,0.715,0.988,0.79,1.086,0.14,28,17,2,30,19,16,27.0,1,0.033,16,11,14,1,0,2,2,3,39.3,50.0,3.6,0.0,1,13,3,4,17,15,1,0.882,0.133,1.133,2,0.667,1,2,1,2,0.842,37.457,72.397,62.041,92,246,220.603,129.371,364.74,262.461,110,264,249.341,140.505,410.77,280.774,8.5,5.4,3.694,1.597,15,27,1.732,12.83,2.0,2.127,0.279,34.5,6,1.059,26,68.527,4.045,6.458,1.0,108,6.353,1.08,9.488,44,226,31,2.205,2214,3769,2264,6246,16.694,236,4158,10.94,4.245,1.898,2.732,0.585,0.354,0.202,0.095,0.647,1.376,6.859,16.483,34.056,2.003,12.177,10.115,0.003,-0.0,-0.0,7.503,6.242,2.626,-0.0,5,0.604,2.996,4.533,5.398,6.29,7.169,8.067,8.951,9.851,10.737,11.638,3.664,4.99,2.398,6.524,4.443,8.16,6.293,9.853,2.996,3.332,3.638,3.932,4.06,4.159,4.234,4.277,4.22,3.989,3.332,4.021,4.702,5.362,5.864,6.282,6.729,7.148,7.498,7.548,12.162,6.41,9.524,1.486,3.114,3.584,2.91,11.828,8.254,7.499,6.439,5.785,3.988,0.696,0.434,0.278,0.174,0.116,0.07,11.055,6.704,5.382,4.019,3.15,1.819,0.65,0.353,0.199,0.109,0.063,0.032,12.682,8.997,8.453,7.431,6.871,4.665,57.406,2.932,Sc1cc(cc2c1c(C)ccc2)c1nccs1,1277.27
372.53,7.926,31.487,46.552,33.762,52.235,0.67,0.99,0.718,1.111,0.088,47,27,0,51,31,22,42.0,3,0.059,22,20,22,4,0,1,1,5,42.6,46.8,8.5,0.0,3,19,5,6,29,27,1,1.0,0.074,1.074,4,0.8,1,4,1,2,0.71,62.774,260.905,103.927,148,350,344.816,174.019,523.35,368.21,178,385,382.592,200.859,601.1,408.393,12.167,8.317,5.917,2.707,23,43,2.0,21.959,2.219,2.255,0.213,56.0,8,0.969,44,130.817,5.642,0.0,1.0,251,9.296,1.366,20.395,89,1095,88,2.672,8016,12505,8768,20927,25.355,566,33932,16.724,7.296,3.197,4.519,0.572,0.348,0.207,0.113,0.656,1.576,10.871,26.856,52.0,1.926,19.645,16.597,0.0,-0.0,-0.0,7.426,9.953,4.248,-0.0,0,0.0,3.466,5.004,5.878,6.767,7.66,8.559,9.458,10.361,11.264,12.169,4.143,5.46,2.398,6.993,4.443,8.627,6.293,10.315,3.466,3.784,4.127,4.454,4.71,4.796,4.984,5.124,5.252,5.298,3.761,4.385,5.062,5.73,6.303,6.683,7.194,7.656,8.109,8.415,12.688,7.977,12.288,1.54,4.311,4.059,3.341,18.054,13.399,11.656,10.441,9.337,7.707,0.669,0.432,0.271,0.171,0.11,0.07,15.669,10.014,7.435,5.65,4.337,2.863,0.58,0.323,0.173,0.093,0.051,0.026,18.407,13.899,12.154,10.955,9.934,8.033,87.423,3.904,C1NCN(CN1)c1cccc2c1c(ccc2)c1ccnc(c1)c1cscc1,1228.03
373.52,8.12,30.982,45.771,33.006,51.318,0.674,0.995,0.718,1.116,0.088,46,27,0,50,31,22,42.0,3,0.06,22,19,21,5,0,1,1,6,41.3,45.7,10.9,0.0,3,18,5,6,29,27,1,1.0,0.074,1.074,4,0.8,1,4,1,2,0.71,70.121,272.137,101.416,148,366,364.461,179.97,548.15,385.179,178,404,402.752,207.31,633.52,427.738,12.167,8.183,5.917,2.654,23,43,2.0,21.959,2.219,2.255,0.213,56.5,8,0.952,44,130.041,5.413,0.0,1.0,217,8.037,1.081,20.963,82,1188,87,2.397,7796,12304,8516,20715,25.209,488,23240,16.664,7.257,3.176,4.479,0.572,0.347,0.204,0.11,0.755,2.061,13.246,27.627,53.0,1.963,19.515,16.399,0.0,-0.0,-0.0,7.463,9.949,4.254,-0.0,0,0.0,3.466,5.004,5.878,6.765,7.657,8.554,9.454,10.356,11.26,12.165,4.143,5.46,2.398,6.993,4.443,8.625,6.293,10.31,3.466,3.784,4.127,4.443,4.7,4.82,5.037,5.193,5.318,5.342,3.761,4.385,5.057,5.711,6.283,6.68,7.199,7.667,8.112,8.384,12.684,7.745,11.748,1.517,4.003,4.059,3.342,18.054,13.399,11.647,10.498,9.28,7.606,0.669,0.432,0.271,0.172,0.11,0.07,15.539,9.834,7.356,5.562,4.109,2.711,0.576,0.317,0.171,0.091,0.049,0.025,18.407,13.853,12.23,11.179,9.924,7.938,87.372,3.888,C1NCN(CN1)c1ccc(nc1c1cccc2c1cccc2)c1nccs1,1236.8
237.27,8.182,20.085,29.174,20.722,31.993,0.693,1.006,0.715,1.103,0.131,29,18,0,31,20,17,28.5,3,0.097,17,11,15,1,2,0,0,3,37.9,51.7,3.4,6.9,0,15,3,3,17,17,0,0.944,0.0,1.0,3,1.0,1,2,0,1,0.85,41.936,109.671,0.0,92,260,287.116,101.138,383.14,274.565,106,275,290.749,115.306,421.31,290.761,8.333,5.2,4.056,1.633,13,26,1.732,14.099,2.16,2.189,0.266,38.5,4,0.846,23,75.626,4.522,0.0,0.8,130,7.222,1.025,10.556,47,378,46,2.241,2764,4706,2881,8002,17.964,284,4101,10.903,4.963,2.403,3.006,0.557,0.325,0.188,0.096,0.913,2.333,10.399,17.004,38.667,2.148,12.523,9.875,0.001,0.0,0.0,7.648,6.578,2.714,0.0,0,0.0,3.045,4.533,5.361,6.209,7.055,7.912,8.765,9.625,10.481,11.342,3.714,4.977,2.398,6.444,4.443,8.004,6.293,9.612,3.045,3.296,3.555,3.807,3.932,3.892,3.951,3.951,3.892,3.761,3.384,3.956,4.531,5.106,5.52,5.657,6.037,6.373,6.639,6.828,11.893,6.323,9.446,1.494,3.124,3.645,2.961,12.209,8.933,7.493,6.334,5.386,4.01,0.678,0.447,0.288,0.186,0.122,0.08,9.615,5.641,3.758,2.551,1.724,1.047,0.534,0.282,0.145,0.075,0.039,0.021,12.209,8.933,7.493,6.334,5.386,4.01,55.821,3.173,n1ccc(cc1)Oc1ccccc1c1ccco1,1175.61
321.45,9.741,24.546,32.993,26.358,35.996,0.744,1.0,0.799,1.091,0.108,33,22,0,36,25,22,36.0,3,0.083,22,11,17,3,0,2,2,5,33.3,51.5,9.1,0.0,0,17,4,4,22,22,0,1.0,0.0,1.0,4,1.0,2,2,0,0,0.88,111.096,132.6,0.0,118,342,318.656,167.617,505.14,361.944,140,363,346.49,185.472,563.19,386.754,10.0,6.1,4.861,1.856,18,34,1.732,17.682,2.2,2.234,0.238,45.5,6,1.021,31,100.618,5.419,0.0,1.0,203,9.227,1.43,16.818,71,612,68,2.698,4964,8576,5343,15479,21.625,453,12153,13.564,5.956,2.689,3.672,0.568,0.34,0.197,0.1,0.628,1.563,8.554,21.217,44.667,2.03,15.635,12.911,0.001,0.0,-0.0,7.53,8.06,3.403,0.0,0,0.0,3.258,4.779,5.638,6.512,7.388,8.271,9.154,10.041,10.928,11.817,3.932,5.231,3.045,6.73,5.283,8.315,7.298,9.945,3.258,3.555,3.871,4.159,4.304,4.369,4.5,4.595,4.644,4.644,3.611,4.227,4.873,5.502,5.938,6.265,6.723,7.134,7.502,7.808,12.347,7.156,11.243,1.571,4.087,3.85,3.147,14.778,10.916,9.388,8.316,7.226,5.446,0.672,0.437,0.276,0.177,0.115,0.075,13.142,8.508,6.473,5.15,4.069,2.604,0.597,0.34,0.19,0.11,0.065,0.036,15.485,11.824,10.496,9.694,8.852,6.78,76.032,3.574,n1ccc(cc1)c1scnc1c1scc(c1)c1cccnc1,1295.67
340.5,8.731,26.819,38.869,29.091,42.952,0.688,0.997,0.746,1.101,0.103,39,23,1,42,26,17,34.5,2,0.048,17,16,18,2,1,2,2,5,41.0,46.2,5.1,2.6,4,14,4,5,24,22,1,0.957,0.091,1.091,3,0.75,0,4,1,2,0.654,0.0,229.602,87.337,126,336,317.161,176.221,491.49,355.142,154,344,335.388,205.879,544.46,364.034,10.917,6.933,5.083,2.262,20,37,2.345,17.97,2.107,2.184,0.236,48.0,7,1.114,42,102.8,4.467,5.635,0.8,163,7.087,0.888,13.701,58,710,59,2.136,4618,7694,4860,13154,21.538,359,9051,15.01,6.159,2.532,4.019,0.575,0.361,0.221,0.125,1.629,4.365,15.682,32.406,47.75,2.076,16.621,14.27,0.0,-0.0,0.0,7.576,8.516,3.706,-0.0,2,0.393,3.296,4.844,5.733,6.648,7.563,8.49,9.414,10.345,11.272,12.206,3.97,5.303,0.0,6.884,0.0,8.579,0.0,10.332,3.296,3.638,4.007,4.344,4.615,4.635,4.762,4.812,4.787,4.625,3.57,4.19,4.846,5.476,6.066,6.308,6.737,7.126,7.479,7.532,12.707,7.054,10.127,1.436,3.073,3.892,3.191,15.7,11.311,9.908,8.948,8.049,6.917,0.683,0.435,0.268,0.166,0.106,0.069,14.109,9.656,7.982,7.197,6.22,5.205,0.613,0.371,0.216,0.133,0.082,0.052,16.408,12.238,11.017,10.422,9.717,8.667,78.621,3.377,Oc1nccnc1C1(CSCCS1)c1cccc2c1cccc2,1253.23
312.43,8.222,25.148,38.113,26.693,42.614,0.662,1.003,0.702,1.121,0.108,38,22,0,41,25,16,33.0,3,0.073,16,16,16,4,1,1,1,6,42.1,42.1,10.5,2.6,3,13,4,4,22,22,0,1.0,0.0,1.0,4,1.0,2,2,0,1,0.64,104.788,130.202,0.0,118,312,317.24,147.759,457.42,329.152,140,323,325.484,166.183,503.4,344.199,10.0,6.45,4.861,2.075,18,34,1.732,17.682,2.2,2.234,0.238,47.0,6,0.97,31,99.519,5.062,0.0,1.0,176,8.0,1.182,14.909,66,612,58,2.461,4724,7927,5083,13964,21.365,393,10535,13.939,6.202,2.827,3.93,0.568,0.343,0.201,0.097,1.282,1.729,12.873,22.793,44.667,2.03,15.759,13.16,0.001,0.0,-0.0,7.53,8.098,3.45,0.0,0,0.0,3.258,4.779,5.638,6.512,7.387,8.267,9.148,10.03,10.913,11.797,3.932,5.231,3.045,6.73,5.13,8.322,6.986,9.967,3.258,3.555,3.871,4.159,4.29,4.369,4.5,4.564,4.595,4.585,3.526,4.078,4.659,5.218,5.479,5.738,6.076,6.334,6.578,6.791,12.33,7.058,9.818,1.391,2.76,3.849,3.148,14.778,10.916,9.388,8.308,7.257,5.254,0.672,0.437,0.276,0.177,0.115,0.073,12.638,8.083,5.849,4.402,3.311,2.043,0.574,0.323,0.172,0.094,0.053,0.028,15.131,11.416,9.886,8.822,7.854,5.58,73.266,3.524,C1NC(NC(N1)c1cscn1)c1ccccc1c1cocc1,1278.67
348.42,8.103,30.445,42.716,31.796,47.112,0.708,0.993,0.739,1.096,0.088,43,27,0,47,31,28,45.0,3,0.064,28,16,24,2,1,0,0,3,37.2,55.8,4.7,2.3,0,24,5,6,29,27,1,1.0,0.074,1.074,4,0.8,1,4,1,2,0.903,56.19,253.484,99.33,148,358,377.026,153.987,538.54,377.428,179,402,412.032,185.487,623.05,424.932,12.167,7.9,5.944,2.549,23,43,2.0,21.959,2.219,2.255,0.213,56.0,8,0.853,45,129.575,5.322,0.0,0.833,233,8.63,1.199,18.922,84,1070,88,2.476,7635,12201,8312,20824,25.087,524,33932,15.689,6.64,2.749,3.858,0.57,0.35,0.214,0.119,0.721,1.804,11.462,28.476,54.833,2.031,19.2,16.057,0.0,-0.0,-0.0,7.531,9.901,4.237,-0.0,0,0.0,3.466,5.004,5.883,6.779,7.679,8.586,9.494,10.406,11.318,12.232,4.143,5.46,2.398,6.999,4.443,8.642,6.293,10.343,3.466,3.784,4.143,4.489,4.754,4.852,5.037,5.159,5.257,5.278,3.829,4.486,5.188,5.881,6.488,6.876,7.42,7.901,8.356,8.689,12.745,7.977,13.425,1.683,5.447,4.06,3.342,18.054,13.416,11.582,10.443,9.465,7.883,0.669,0.433,0.269,0.168,0.108,0.069,14.54,8.818,6.363,4.772,3.572,2.488,0.539,0.284,0.148,0.077,0.041,0.022,18.054,13.416,11.582,10.443,9.465,7.883,82.449,3.841,c1ccc(cn1)c1cccc2c1c(ccc2)c1ncccc1c1ccoc1,1180.38
355.58,8.889,27.797,39.4,31.04,43.58,0.695,0.985,0.776,1.089,0.103,40,23,0,43,26,17,34.5,3,0.07,17,17,19,1,0,3,3,4,42.5,47.5,2.5,0.0,4,15,4,4,23,23,0,1.0,0.0,1.0,4,1.0,1,3,0,1,0.654,58.619,217.845,0.0,122,324,276.226,190.235,471.09,339.759,143,327,300.941,209.491,508.6,345.535,10.5,7.117,5.083,2.369,18,35,1.732,18.375,2.19,2.223,0.233,46.5,6,1.237,33,107.843,5.842,0.0,0.857,230,10.0,1.565,19.331,80,710,75,2.752,5792,9350,6249,15946,22.675,512,13412,15.438,7.208,3.547,4.838,0.568,0.334,0.187,0.1,0.657,1.104,6.582,24.399,42.667,1.855,17.053,14.536,0.001,-0.0,0.0,7.355,8.505,3.591,-0.0,0,0.0,3.296,4.812,5.659,6.521,7.383,8.251,9.12,9.991,10.863,11.737,3.97,5.263,2.398,6.76,4.595,8.341,6.605,9.963,3.296,3.584,3.871,4.127,4.331,4.357,4.5,4.585,4.682,4.736,3.57,4.131,4.726,5.31,5.796,6.066,6.525,6.908,7.285,7.597,12.278,7.228,10.364,1.434,3.136,3.894,3.188,15.485,11.399,9.816,8.569,7.243,5.799,0.673,0.438,0.28,0.182,0.119,0.077,15.094,10.719,9.029,8.112,6.787,5.41,0.656,0.412,0.258,0.173,0.111,0.072,16.546,12.761,11.54,10.783,9.541,7.931,82.518,3.697,C1SCC(SC1)c1ccc(s1)c1cccc(c1)c1ccncc1,1262.42
350.54,8.346,28.631,41.425,31.398,46.158,0.682,0.986,0.748,1.099,0.098,42,24,0,45,27,18,36.0,3,0.067,18,18,20,2,0,2,2,4,42.9,47.6,4.8,0.0,4,16,4,4,24,24,0,1.0,0.0,1.0,4,1.0,0,4,0,1,0.667,0.0,279.869,0.0,126,322,295.011,170.666,469.99,337.648,148,329,319.015,190.843,511.8,347.565,11.0,7.483,5.361,2.504,18,36,1.732,19.068,2.182,2.213,0.229,49.0,6,1.142,37,112.577,5.493,0.0,1.0,222,9.25,1.354,18.0,78,792,78,2.669,6004,9539,6427,15904,23.152,491,14759,15.744,7.418,3.529,4.866,0.563,0.335,0.196,0.111,0.749,1.596,9.235,27.028,45.833,1.91,17.598,14.791,0.001,0.0,-0.0,7.41,8.863,3.729,0.0,0,0.0,3.332,4.844,5.694,6.558,7.426,8.3,9.174,10.052,10.929,11.809,4.007,5.293,0.0,6.804,0.0,8.407,0.0,10.057,3.332,3.611,3.912,4.19,4.443,4.419,4.585,4.663,4.727,4.736,3.611,4.167,4.769,5.367,5.952,6.148,6.634,7.002,7.343,7.609,12.346,7.297,10.86,1.488,3.563,3.936,3.229,16.192,11.916,10.095,8.808,7.611,6.479,0.675,0.441,0.28,0.18,0.117,0.077,14.893,10.281,8.135,6.913,5.659,4.576,0.621,0.381,0.226,0.141,0.087,0.054,16.899,12.87,11.176,10.14,8.978,7.812,81.944,3.689,C1CSC(CS1)c1cccc(c1)c1cccnc1c1ccccn1,1199.5
